date,year,month,day,weekday,season,is_weekend,holiday,isMyBirthday
1970-01-01,1970,January,1,Thursday,Winter,False,Nieuwjaarsdag,False
1970-01-02,1970,January,2,Friday,Winter,False,,False
1970-01-03,1970,January,3,Saturday,Winter,True,,False
1970-01-04,1970,January,4,Sunday,Winter,True,,False
1970-01-05,1970,January,5,Monday,Winter,False,,False
1970-01-06,1970,January,6,Tuesday,Winter,False,,False
1970-01-07,1970,January,7,Wednesday,Winter,False,,False
1970-01-08,1970,January,8,Thursday,Winter,False,,False
1970-01-09,1970,January,9,Friday,Winter,False,,False
1970-01-10,1970,January,10,Saturday,Winter,True,,False
1970-01-11,1970,January,11,Sunday,Winter,True,,False
1970-01-12,1970,January,12,Monday,Winter,False,,False
1970-01-13,1970,January,13,Tuesday,Winter,False,,False
1970-01-14,1970,January,14,Wednesday,Winter,False,,False
1970-01-15,1970,January,15,Thursday,Winter,False,,False
1970-01-16,1970,January,16,Friday,Winter,False,,False
1970-01-17,1970,January,17,Saturday,Winter,True,,False
1970-01-18,1970,January,18,Sunday,Winter,True,,False
1970-01-19,1970,January,19,Monday,Winter,False,,False
1970-01-20,1970,January,20,Tuesday,Winter,False,,False
1970-01-21,1970,January,21,Wednesday,Winter,False,,False
1970-01-22,1970,January,22,Thursday,Winter,False,,False
1970-01-23,1970,January,23,Friday,Winter,False,,False
1970-01-24,1970,January,24,Saturday,Winter,True,,False
1970-01-25,1970,January,25,Sunday,Winter,True,,False
1970-01-26,1970,January,26,Monday,Winter,False,,False
1970-01-27,1970,January,27,Tuesday,Winter,False,,False
1970-01-28,1970,January,28,Wednesday,Winter,False,,False
1970-01-29,1970,January,29,Thursday,Winter,False,,False
1970-01-30,1970,January,30,Friday,Winter,False,,False
1970-01-31,1970,January,31,Saturday,Winter,True,,False
1970-02-01,1970,February,1,Sunday,Winter,True,,False
1970-02-02,1970,February,2,Monday,Winter,False,,False
1970-02-03,1970,February,3,Tuesday,Winter,False,,False
1970-02-04,1970,February,4,Wednesday,Winter,False,,False
1970-02-05,1970,February,5,Thursday,Winter,False,,False
1970-02-06,1970,February,6,Friday,Winter,False,,False
1970-02-07,1970,February,7,Saturday,Winter,True,,False
1970-02-08,1970,February,8,Sunday,Winter,True,,False
1970-02-09,1970,February,9,Monday,Winter,False,,False
1970-02-10,1970,February,10,Tuesday,Winter,False,,False
1970-02-11,1970,February,11,Wednesday,Winter,False,,False
1970-02-12,1970,February,12,Thursday,Winter,False,,False
